Brand,Model,Price,Manufacturing_Year,Variant,Driven_km,Fuel_Type,Location
Honda,Brio,4.31 Lakh,2016,1.2 E MT,"43,771",Petrol,Bangalore
Maruti,Ignis,5.32 Lakh,2017,1.2 Delta BSIV,"42,206",Petrol,Bangalore
Maruti,Alto,2.31 Lakh,2010,LXi BSIII,"60,998",Petrol,Bangalore
Hyundai,i10,2.73 Lakh,2008,Sportz,"93,398",Petrol,Bangalore
Honda,Brio,4.26 Lakh,2013,1.2 VX AT,"84,561",Petrol,Bangalore
Maruti,Alto,3.28 Lakh,2016,LXI,"53,908",Petrol,Bangalore
Maruti,Alto,1.96 Lakh,2008,LXi BSIII,"44,812",Petrol,Bangalore
Maruti,Swift,3.64 Lakh,2009,VXi,"33,506",Petrol,Bangalore
Maruti,Swift,3.29 Lakh,2009,VXi,"86,950",Petrol,Bangalore
Maruti,Eeco,4.55 Lakh,2019,5 Seater AC,"30,661",Petrol,Bangalore
Hyundai,Grand,2.65 Lakh,2009,Magna 1.2,"79,209",Petrol,Bangalore
Hyundai,Grand,3.01 Lakh,2010,Sportz 1.2,"89,919",Petrol,Bangalore
Hyundai,i10,3.49 Lakh,2012,Magna 1.1L,"30,858",Petrol,Bangalore
Maruti,Ignis,6.22 Lakh,2017,1.2 AMT Delta BSIV,"13,107",Petrol,Bangalore
Tata,Nexon,9.45 Lakh,2019,1.2 Revotron XMA,"19,000",Petrol,Bangalore
Hyundai,EON,3.25 Lakh,2013,Era Plus,"23,000",Petrol,Bangalore
BMW,7,27 Lakh,2013,730Ld M Sport Plus,"65,000",Diesel,Bangalore
Mini,Cooper,37.25 Lakh,2018,Cooper S,"25,389",Petrol,Bangalore
Volkswagen,Beetle,18.75 Lakh,2011,1.4 TSI,"20,000",Petrol,Bangalore
Mercedes-Benz,GLA,23 Lakh,2017,200 CDI,"45,000",Diesel,Bangalore
Tata,Manza,2.79 Lakh,2010,Aura Safire,"51,442",Petrol,Bangalore
Maruti,Swift,6.75 Lakh,2016,VDI,"80,000",Diesel,Bangalore
Hyundai,i20,7.1 Lakh,2017,Asta Option 1.2,"22,632",Petrol,Bangalore
Hyundai,Verna,5.75 Lakh,2013,1.6 SX CRDI (O) AT,"1,20,000",Diesel,Bangalore
Hyundai,Grand,5.85 Lakh,2018,Sportz,"12,000",Petrol,Bangalore
Maruti,Swift,6 Lakh,2017,VXI BSIV,"52,000",Petrol,Bangalore
Skoda,Octavia,14.5 Lakh,2014,Ambition 2.0 TDI AT,"86,483",Diesel,Bangalore
Maruti,Baleno,6.75 Lakh,2018,1.2 Delta,"21,000",Petrol,Bangalore
Hyundai,Accent,2.1 Lakh,2011,Executive,"1,20,000",Petrol,Bangalore
Honda,Amaze,7.25 Lakh,2018,VX i DTEC,"60,000",Diesel,Bangalore
Hyundai,Grand,4.5 Lakh,2013,Sportz,"23,000",Petrol,Bangalore
Mercedes-Benz,GLA,30 Lakh,2018,200 d Sport,"30,000",Diesel,Bangalore
Hyundai,Santro,5.25 Lakh,2018,Sportz AMT BSIV,"15,885",Petrol,Bangalore
Hyundai,i20,3.5 Lakh,2010,1.2 Magna,"1,10,000",Petrol,Bangalore
Hyundai,Grand,5 Lakh,2016,Asta Option,"30,000",Petrol,Bangalore
Hyundai,EON,3.65 Lakh,2017,Sportz,"27,000",Petrol,Bangalore
Maruti,Ritz,5.2 Lakh,2015,ZXi,"28,100",Petrol,Bangalore
Hyundai,EON,2.7 Lakh,2013,Sportz,"37,700",Petrol,Bangalore
Maruti,Ertiga,9.25 Lakh,2016,SHVS ZDI,"94,500",Diesel,Bangalore
Maruti,Baleno,8.25 Lakh,2018,1.2 CVT Alpha,"25,000",Petrol,Bangalore
Hyundai,Grand,5.5 Lakh,2017,Asta Option,"50,000",Petrol,Bangalore
Hyundai,i20,3.9 Lakh,2011,1.2 Magna,"60,000",Petrol,Bangalore
Hyundai,i20,7 Lakh,2016,1.2 SX with AVN,"16,000",Petrol,Bangalore
Ford,Fiesta,3.25 Lakh,2012,Titanium 1.5 TDCi,"76,000",Diesel,Bangalore
Toyota,Innova,21 Lakh,2020,2.8 GX AT BSIV,"11,461",Diesel,Bangalore
Maruti,Swift,5.1 Lakh,2017,S,"1,20,000",CNG,Bangalore
Volkswagen,Jetta,6 Lakh,2011,2.0L TDI Comfortline,"1,10,000",Diesel,Bangalore
Maruti,Swift,5.1 Lakh,2015,VXI Optional,"50,000",Petrol,Bangalore
Maruti,Alto,2.6 Lakh,2014,LXI,"80,000",Petrol,Bangalore
Maruti,Celerio,4.7 Lakh,2017,ZXI AT,"61,191",Petrol,Bangalore
Honda,Jazz,5.48 Lakh,2016,V,"42,010",Petrol,Bangalore
Skoda,Superb,5.75 Lakh,2012,Elegance 1.8 TSI AT,"70,000",Petrol,Bangalore
Toyota,Innova,20 Lakh,2020,2.4 GX 7 STR,"15,519",Diesel,Bangalore
Fiat,Grande,2.75 Lakh,2012,1.3 Emotion (Diesel),"1,00,000",Diesel,Bangalore
Honda,Amaze,8 Lakh,2018,V CVT Petrol,"21,571",Petrol,Bangalore
